tokenID,name,description,file_name,attributes[Background],attributes[Skin],attributes[Type],attributes[Status],attributes[Body],attributes[Mouth],attributes[Eyes],attributes[Head],attributes[Special],attributes[Legend]
612,Squig #612,"4,444 Creatures from another world come to observe and imitate Humans.",612.png,Portal,Purple,Squig,OG,Prison,Afraid,Bionic Lashes,Blonde Hair Bandana,Ugly Necklace,
613,Squig #613,"4,444 Creatures from another world come to observe and imitate Humans.",613.png,Purple Portal,Purple,Squig,OG,Green Tee,Smile,Triple,Purple Punk,None,
614,Squig #614,"4,444 Creatures from another world come to observe and imitate Humans.",614.png,Green,Zombie,Zombie,OG,White Tank,Tape,Triple Lashes,Mountie,None,
615,Squig #615,"4,444 Creatures from another world come to observe and imitate Humans.",615.png,Yellow,Brown Elf,Squig Elf,OG,Born Ugly Tank Yellow,Neutral,Cyclops Lashes,Pink Ugly Cap,None,
616,Squig #616,"4,444 Creatures from another world come to observe and imitate Humans.",616.png,Light Blue Boom,Beige,Squig,OG,Black Sweat,Tongue,Cyclops Lashes,Brain Bucket,Weed Necklace,
617,Squig #617,"4,444 Creatures from another world come to observe and imitate Humans.",617.png,Orange Splash,Zombie,Zombie,OG,Chain,Neutral,Triple Lashes,Pink Beanie,None,
618,Squig #618,"4,444 Creatures from another world come to observe and imitate Humans.",618.png,Light Blue Portal,Purple,Squig,OG,Ugly Scene,Open,Anger Cyclops,White Cowboy,None,
619,Squig #619,"4,444 Creatures from another world come to observe and imitate Humans.",619.png,Pink Splash,Brown Elf,Squig Elf,OG,Blue Tracksuit,Tongue,Angry Triple Lashes,3D,None,
620,Squig #620,"4,444 Creatures from another world come to observe and imitate Humans.",620.png,Yellow Portal,Green Elf,Squig Elf,OG,Purple Tee,Afraid,Angry Triple Lashes,Parted,Dino,
621,Squig #621,"4,444 Creatures from another world come to observe and imitate Humans.",621.png,Yellow Boom,Beige,Squig,OG,Beavis Tee,Futuristic Mask,Angry Cyclops,Mono Pigtail,None,
622,Squig #622,"4,444 Creatures from another world come to observe and imitate Humans.",622.png,Light Blue Splash,Dark Zombie,Zombie,OG,Pink Jacket,Sewn,Triple Lashes,Pink Sunhat,None,
623,Squig #623,"4,444 Creatures from another world come to observe and imitate Humans.",623.png,Purple Portal,Purple,Squig,OG,Ugly Tracksuit,Sad,Surgery,Mountie,None,
624,Squig #624,"4,444 Creatures from another world come to observe and imitate Humans.",624.png,Grey Boom,Purple Elf,Squig Elf,OG,Pink Surf Lycra,Neutral,Cyclops Lashes,Lobby,None,
625,Squig #625,"4,444 Creatures from another world come to observe and imitate Humans.",625.png,Grey,Dark Brown,Squig,OG,Baseball Jersey Red,Open,Angry Triple Lashes,Purple Punk,None,
626,Squig #626,"4,444 Creatures from another world come to observe and imitate Humans.",626.png,Orange Boom,Purple Elf,Squig Elf,OG,Baseball Jersey Blue,Sad,Triple Lashes,Pink Cowboy,Smile Necklace,
627,Squig #627,"4,444 Creatures from another world come to observe and imitate Humans.",627.png,Grey Splash,Beige,Squig,OG,Born Ugly Tee,Neutral,Suspect Cyclops,Green Beanie,None,
628,Squig #628,"4,444 Creatures from another world come to observe and imitate Humans.",628.png,Green Boom,Brown,Squig,OG,Red Bathrobe,Sewn,Bionic Lashes,J Brim,None,
629,Squig #629,"4,444 Creatures from another world come to observe and imitate Humans.",629.png,Purple Boom,Robot,Robot,OG,White Tee,Revive Pill,Cyclops Lashes,Green Ugly Cap,None,
630,Squig #630,"4,444 Creatures from another world come to observe and imitate Humans.",630.png,Light Blue,Brown Elf,Squig Elf,OG,Iridescent Puffy,Tongue,Cyclops,Pink Beanie,None,
631,Squig #631,"4,444 Creatures from another world come to observe and imitate Humans.",631.png,Green,Green Elf,Squig Elf,OG,Naked,Neutral,Triple,Blindfoil,Laser Tits,
632,Squig #632,"4,444 Creatures from another world come to observe and imitate Humans.",632.png,Green Boom,Brown Elf,Squig Elf,OG,Ugly Football Club Black,Blue Tongue,Angry Triple Lashes,Ugly Black Cap,None,
633,Squig #633,"4,444 Creatures from another world come to observe and imitate Humans.",633.png,Yellow,Zombie,Zombie,OG,Flame Sweat,Gold Giant Tongue,Angry Cyclops Lashes,Ugly Black Cap,None,
634,Squig #634,"4,444 Creatures from another world come to observe and imitate Humans.",634.png,Light Blue,Green Elf,Squig Elf,OG,Black Hoodie,Toothless,Cyclops,Afro Brown,Multi Earring,
635,Squig #635,"4,444 Creatures from another world come to observe and imitate Humans.",635.png,Purple,Brown,Squig,OG,Ugly Tracksuit,Open,Sleepy Triple,Basketball,None,
636,Squig #636,"4,444 Creatures from another world come to observe and imitate Humans.",636.png,Yellow Portal,Dark Brown Elf,Squig Elf,OG,Red Bathrobe,Giant Iridescent Tongue,Cyclops,Visor With Hair,None,
637,Squig #637,"4,444 Creatures from another world come to observe and imitate Humans.",637.png,Pink Portal,Beige Elf,Squig Elf,OG,White Tee,Tongue,Triple,Green Visor,None,
638,Squig #638,"4,444 Creatures from another world come to observe and imitate Humans.",638.png,Yellow,Beige Elf,Squig Elf,OG,Black Tank,Open,Bionic Lashes,I Need TP,None,
639,Squig #639,"4,444 Creatures from another world come to observe and imitate Humans.",639.png,Grey,Brown,Squig,OG,Borat,Toothless,Cyclops,Pink Sunhat,Blunt,
640,Squig #640,"4,444 Creatures from another world come to observe and imitate Humans.",640.png,Pink Boom,Dark Brown,Squig,OG,Blue Surf Lycra,Gold Digger,Cyclops,White Backwards Cap,None,
641,Squig #641,"4,444 Creatures from another world come to observe and imitate Humans.",641.png,Pink Boom,Green Elf,Squig Elf,OG,Ugly Football Club Black,Oh,Triple,Mountie,None,
642,Squig #642,"4,444 Creatures from another world come to observe and imitate Humans.",642.png,Yellow,Purple Elf,Squig Elf,OG,Basketball Yellow,Neutral,Cyclops,Mountie,None,
643,Squig #643,"4,444 Creatures from another world come to observe and imitate Humans.",643.png,Green,Brown Elf,Squig Elf,OG,420 Shirt,Tape,Angry Cyclops,Human Air,None,
644,Squig #644,"4,444 Creatures from another world come to observe and imitate Humans.",644.png,Purple,Dark Brown,Squig,OG,Green Tee,Afraid,Bionic Lashes,Cop Helmet,None,
645,Squig #645,"4,444 Creatures from another world come to observe and imitate Humans.",645.png,Orange,Brown Elf,Squig Elf,OG,Naked,Open,Angry Triple Lashes,Golf,None,
646,Squig #646,"4,444 Creatures from another world come to observe and imitate Humans.",646.png,Pink,Green,Squig,OG,Pink Hoodie,Open,Cyclops,Pink Cowboy,None,
647,Squig #647,"4,444 Creatures from another world come to observe and imitate Humans.",647.png,Pink,Beige,Squig,OG,White Tank,Afraid,Cyclops Lashes,Grey Boom Bucket,None,
648,Squig #648,"4,444 Creatures from another world come to observe and imitate Humans.",648.png,Pink,Green,Squig,OG,Purple Tee,Neutral,Cyclops,Green Cap,None,
649,Squig #649,"4,444 Creatures from another world come to observe and imitate Humans.",649.png,Purple Splash,Brown,Squig,OG,Super Gold ,Mustache,Suspect Cyclops,Multi Cap,None,
650,Squig #650,"4,444 Creatures from another world come to observe and imitate Humans.",650.png,Pink Splash,Amphibian Purple,Amphibian,OG,Born Ugly Tank Yellow,Sad,Triple,Green Ugly Cap,None,
651,Squig #651,"4,444 Creatures from another world come to observe and imitate Humans.",651.png,Orange,Brown Elf,Squig Elf,OG,Green White Polo,Tongue,Cyclops Lashes,Crown,None,
652,Squig #652,"4,444 Creatures from another world come to observe and imitate Humans.",652.png,Grey Splash,Green,Squig,OG,Triangle Longue Tee,Sad,Cyclops,Pink Sunhat,Gold Earring,
653,Squig #653,"4,444 Creatures from another world come to observe and imitate Humans.",653.png,Purple Boom,Dark Robot,Robot,OG,White Sweat,Toothless,Sleepy Triple,Black Backwards Cap,None,
654,Squig #654,"4,444 Creatures from another world come to observe and imitate Humans.",654.png,Green,Dark Zombie,Zombie,OG,Baseball Jersey Red,Neutral,Sleepy Triple,Mountie,None,
655,Squig #655,"4,444 Creatures from another world come to observe and imitate Humans.",655.png,Green,Brown,Squig,OG,Ugly Hockey Jersey,Neutral,Cyclops Lashes,Pink Sunhat,Multi Earring,
656,Squig #656,"4,444 Creatures from another world come to observe and imitate Humans.",656.png,Purple,Beige,Squig,OG,Green Tee,Afraid,Triple,Headphones,None,
657,Squig #657,"4,444 Creatures from another world come to observe and imitate Humans.",657.png,Pink,Brown,Squig,OG,White Tank,Sad,Triple Lashes,Ugly Pale Ale,None,
658,Squig #658,"4,444 Creatures from another world come to observe and imitate Humans.",658.png,Yellow Boom,Zombie,Zombie,OG,Beige Jacket,Neutral,Sleepy Triple,Mountie,None,
659,Squig #659,"4,444 Creatures from another world come to observe and imitate Humans.",659.png,Pink,Beige Elf,Squig Elf,OG,Beige Jacket,Smile,Sleepy Triple,White Backwards Cap,None,
660,Squig #660,"4,444 Creatures from another world come to observe and imitate Humans.",660.png,Purple,Green,Squig,OG,Red Tracksuit,Open,Bionic,J Brim,E cigarette,
661,Squig #661,"4,444 Creatures from another world come to observe and imitate Humans.",661.png,Green Portal,Dark Zombie,Zombie,OG,Purple Hoodie,Blue Tongue,Cyclops Lashes,Beer Bucket,None,
662,Squig #662,"4,444 Creatures from another world come to observe and imitate Humans.",662.png,Orange,Brown Elf,Squig Elf,OG,White Sweat,Tape,Angry Cyclops,Bow,Nouns Glasses,
663,Squig #663,"4,444 Creatures from another world come to observe and imitate Humans.",663.png,Orange Boom,Green,Squig,OG,Black Hoodie,Toothless,Cyclops Lashes,Mountie,None,
664,Squig #664,"4,444 Creatures from another world come to observe and imitate Humans.",664.png,Green Boom,Beige,Squig,OG,Green White Polo,Afraid,Cyclops,Pirate,None,
665,Squig #665,"4,444 Creatures from another world come to observe and imitate Humans.",665.png,Grey,Dark Brown,Squig,OG,Pink Surf Lycra,Toothless,Angry Cyclops Lashes,Blonde Hair Bandana,None,
666,Squig #666,"4,444 Creatures from another world come to observe and imitate Humans.",666.png,Purple,Dark Brown,Squig,OG,Fisherman Black,Blue Tongue,Suspect Cyclops,Yellow Punk,None,
667,Squig #667,"4,444 Creatures from another world come to observe and imitate Humans.",667.png,Purple,Green,Squig,OG,White Suit,Mustache,Angry Cyclops,Brain Bucket,None,
668,Squig #668,"4,444 Creatures from another world come to observe and imitate Humans.",668.png,Grey,Amphibian Green,Amphibian,OG,Green Polo,Oh,Cyclops Lashes,White Bowl,None,
669,Squig #669,"4,444 Creatures from another world come to observe and imitate Humans.",669.png,Orange Splash,Brown,Squig,OG,Green White Polo,Open,Anger Cyclops,Pink Sunhat,None,
670,Squig #670,"4,444 Creatures from another world come to observe and imitate Humans.",670.png,Grey,Beige,Squig,OG,Black Tee Yellow Bandana,Sad,Anger Cyclops,Pink Ugly Cap,None,
671,Squig #671,"4,444 Creatures from another world come to observe and imitate Humans.",671.png,Green Boom,Green Elf,Squig Elf,OG,Basketball Red,Neutral,Anger Cyclops,Bear Fur Hat,None,
672,Squig #672,"4,444 Creatures from another world come to observe and imitate Humans.",672.png,Grey,Beige Elf,Squig Elf,OG,Born Ugly Tank,Neutral,Triple Lashes,Umbrella Hat,None,
673,Squig #673,"4,444 Creatures from another world come to observe and imitate Humans.",673.png,Pink,Green,Squig,OG,Born Ugly Tee,Neutral,Bionic,Blue Ugly Cap,Sad Necklace,
674,Squig #674,"4,444 Creatures from another world come to observe and imitate Humans.",674.png,Light Blue Splash,Green,Squig,OG,Fisherman Multi,Toothless,Sleepy Triple,Yellow Punk,Multi Earring,
675,Squig #675,"4,444 Creatures from another world come to observe and imitate Humans.",675.png,Orange Portal,Dark Brown,Squig,OG,Cowboy Red,Sewn,Angry Cyclops,Multi Cap,None,
676,Squig #676,"4,444 Creatures from another world come to observe and imitate Humans.",676.png,Grey,Green Elf,Squig Elf,OG,Borat,Sad,Angry Cyclops,Ugly Black Cap,None,
677,Squig #677,"4,444 Creatures from another world come to observe and imitate Humans.",677.png,Grey,Gold,Squig,OG,Blue Overalls,Open,Cyclops,Black Backwards Cap,Nouns Glasses,
678,Squig #678,"4,444 Creatures from another world come to observe and imitate Humans.",678.png,Sky,Zombie,Zombie,OG,Brown Suit,Tape,Angry Triple Lashes,Blonde Hair Bandana,Monocle,
679,Squig #679,"4,444 Creatures from another world come to observe and imitate Humans.",679.png,Orange,Gold,Squig,OG,Pink Jacket,Revive Pill,Triple,Yellow Sunhat,None,
680,Squig #680,"4,444 Creatures from another world come to observe and imitate Humans.",680.png,Pink,Beige Elf,Squig Elf,OG,Black Sweat,Blue Tongue,Angry Cyclops,Pink Bowl,Parakeet,
681,Squig #681,"4,444 Creatures from another world come to observe and imitate Humans.",681.png,Yellow Splash,Dark Robot,Robot,OG,Iridescent Shirt,Oh,Surgery,Yellow Punk,None,
682,Squig #682,"4,444 Creatures from another world come to observe and imitate Humans.",682.png,Pink Portal,Beige,Squig,OG,Fisherman Multi,Tape,Suspect Cyclops,Buoy,None,
683,Squig #683,"4,444 Creatures from another world come to observe and imitate Humans.",683.png,Grey Splash,Brown Elf,Squig Elf,OG,Black Suit,Sad,Triple Lashes,Cactus,Piranha,
684,Squig #684,"4,444 Creatures from another world come to observe and imitate Humans.",684.png,Grey Splash,Robot,Robot,OG,Prison,Oh,Triple,Basketball,None,
685,Squig #685,"4,444 Creatures from another world come to observe and imitate Humans.",685.png,Pink,Amphibian Green,Amphibian,OG,Black Tank,Tongue,Cyclops,Knife,None,
686,Squig #686,"4,444 Creatures from another world come to observe and imitate Humans.",686.png,Light Blue Splash,Brown,Squig,OG,Flowers Overalls,Mustache,Cyclops,Brown Hair Bandana,Sad Necklace,
687,Squig #687,"4,444 Creatures from another world come to observe and imitate Humans.",687.png,Pink Boom,Beige Elf,Squig Elf,OG,Neanderthal Suit,Sad,Sleepy Triple,Basketball,None,
688,Squig #688,"4,444 Creatures from another world come to observe and imitate Humans.",688.png,Purple,Crystal,Squig,OG,White Bralette,Oh,Cyclops,Green Visor,None,
689,Squig #689,"4,444 Creatures from another world come to observe and imitate Humans.",689.png,Pink,Purple,Squig,OG,Cowboy Green,Neutral,Angry Triple Lashes,White Cowboy,None,
690,Squig #690,"4,444 Creatures from another world come to observe and imitate Humans.",690.png,Pink Boom,Green Elf,Squig Elf,OG,Multi Overalls,Smile,Anger Cyclops,Proud To Be Ugly,Multi Earring,
691,Squig #691,"4,444 Creatures from another world come to observe and imitate Humans.",691.png,Purple Portal,Brown Elf,Squig Elf,OG,White Tank,Neutral,Surgery Lashes,Pink Beanie,None,
692,Squig #692,"4,444 Creatures from another world come to observe and imitate Humans.",692.png,Green,Beige Elf,Squig Elf,OG,Gold Bralette,Gold Digger,Cyclops,Yellow Sunhat,None,
693,Squig #693,"4,444 Creatures from another world come to observe and imitate Humans.",693.png,Yellow,Green Elf,Squig Elf,OG,Pink Hoodie,Sad,Triple Lashes,Pink Ugly Cap,None,
694,Squig #694,"4,444 Creatures from another world come to observe and imitate Humans.",694.png,Yellow Boom,Crystal,Squig,OG,Green Tee,Open,Triple,Mono Pigtail,None,
695,Squig #695,"4,444 Creatures from another world come to observe and imitate Humans.",695.png,Orange Splash,Amphibian Purple,Amphibian,OG,Ugly Football Club,Afraid,Cyclops Lashes,Fire,None,
696,Squig #696,"4,444 Creatures from another world come to observe and imitate Humans.",696.png,Pink Boom,Purple Elf,Squig Elf,OG,Varsity Green,Neutral,Sleepy Triple,Yellow Sunhat,None,
697,Squig #697,"4,444 Creatures from another world come to observe and imitate Humans.",697.png,Grey,Dark Brown Elf,Squig Elf,OG,Chain,Afraid,Suspect Cyclops,Black Backwards Cap,None,
698,Squig #698,"4,444 Creatures from another world come to observe and imitate Humans.",698.png,Light Blue,Purple,Squig,OG,Purple Hoodie,Open,Triple Lashes,Purple Punk,None,
699,Squig #699,"4,444 Creatures from another world come to observe and imitate Humans.",699.png,Orange Splash,Dark Robot,Robot,OG,Purple Transparent Shirt,Neutral,Angry Cyclops,Gold Bow,None,
700,Squig #700,"4,444 Creatures from another world come to observe and imitate Humans.",700.png,Green Boom,Green,Squig,OG,Black Hoodie,Oh,Surgery,Ski Goggles,None,
701,Squig #701,"4,444 Creatures from another world come to observe and imitate Humans.",701.png,Yellow Portal,Purple Elf,Squig Elf,OG,Baseball Jersey Blue,Blue Tongue,Triple,Green Cap,None,
702,Squig #702,"4,444 Creatures from another world come to observe and imitate Humans.",702.png,Yellow,Beige,Squig,OG,Baseball Jersey Red,Neutral,Angry Triple Lashes,Cowboy,None,
703,Squig #703,"4,444 Creatures from another world come to observe and imitate Humans.",703.png,Grey,Dark Brown,Squig,OG,Blue Puffy,Sad,Triple,Bear Fur Hat,None,
704,Squig #704,"4,444 Creatures from another world come to observe and imitate Humans.",704.png,Grey Boom,Dark Zombie,Zombie,OG,Green Tee,Neutral,Triple Lashes,Dread,Smile Necklace,
705,Squig #705,"4,444 Creatures from another world come to observe and imitate Humans.",705.png,Orange Boom,Beige,Squig,OG,Yellow Puffy,Sad,Sleepy Triple,Pink Bowl,None,
706,Squig #706,"4,444 Creatures from another world come to observe and imitate Humans.",706.png,Green Boom,Beige,Squig,OG,'67 Tracksuit,Oh,Angry Cyclops Lashes,Butthead Hair,None,
707,Squig #707,"4,444 Creatures from another world come to observe and imitate Humans.",707.png,Purple Splash,Green,Squig,OG,420 Shirt,Open,Sleepy Triple,Bear Fur Hat,E cigarette,
708,Squig #708,"4,444 Creatures from another world come to observe and imitate Humans.",708.png,Pink Boom,Brown Elf,Squig Elf,OG,Green White Polo,Revive Pill,Triple Lashes,Bandana,Multi Earring,
709,Squig #709,"4,444 Creatures from another world come to observe and imitate Humans.",709.png,Orange Boom,Amphibian Red,Amphibian,OG,Blue Surf Lycra,Neutral,Triple Lashes,Green Ugly Cap,None,
710,Squig #710,"4,444 Creatures from another world come to observe and imitate Humans.",710.png,Yellow,Dark Brown Elf,Squig Elf,OG,Basketball Yellow,Neutral,Triple Lashes,Hoops,None,
711,Squig #711,"4,444 Creatures from another world come to observe and imitate Humans.",711.png,Purple,Dark Brown,Squig,OG,XRay Tee,Smile,Angry Triple Lashes,Green Cap,None,
712,Squig #712,"4,444 Creatures from another world come to observe and imitate Humans.",712.png,Green,Dark Brown Elf,Squig Elf,OG,Fastfood Shirt,Sad,Triple,Green Beanie,None,
713,Squig #713,"4,444 Creatures from another world come to observe and imitate Humans.",713.png,Yellow Splash,Crystal,Squig,OG,Black Tee,Futuristic Mask,Cyclops,Bald,None,
714,Squig #714,"4,444 Creatures from another world come to observe and imitate Humans.",714.png,Pink Boom,Dark Brown Elf,Squig Elf,OG,Green Tee,Revive Pill,Bionic Lashes,Green Beanie,Parakeet,
715,Squig #715,"4,444 Creatures from another world come to observe and imitate Humans.",715.png,Orange Splash,Purple Elf,Squig Elf,OG,White Tee,Sad,Angry Cyclops,Brown Mullet,None,
716,Squig #716,"4,444 Creatures from another world come to observe and imitate Humans.",716.png,Purple,Purple Elf,Squig Elf,OG,Beige Jacket,Open,Angry Triple Lashes,Bandana,None,
717,Squig #717,"4,444 Creatures from another world come to observe and imitate Humans.",717.png,Yellow,Brown,Squig,OG,Baseball Jersey Red,Oh,Cyclops Lashes,Skate Black,Weed Necklace,
718,Squig #718,"4,444 Creatures from another world come to observe and imitate Humans.",718.png,Orange Splash,Green Elf,Squig Elf,OG,Blue Puffy,Neutral,Suspect Cyclops,Dread,None,
719,Squig #719,"4,444 Creatures from another world come to observe and imitate Humans.",719.png,Pink,Beige Elf,Squig Elf,OG,Ninja,Tongue,Angry Triple Lashes,Goggles,None,
720,Squig #720,"4,444 Creatures from another world come to observe and imitate Humans.",720.png,Orange Splash,Dark Brown,Squig,OG,Better Ugly Than Late Tee,Open,Fire in the hole,Fresh Cut,None,
721,Squig #721,"4,444 Creatures from another world come to observe and imitate Humans.",721.png,Pink Boom,Dark Zombie,Zombie,OG,Black Suit,Toothless,Sleepy Triple,Rice Dome,None,
722,Squig #722,"4,444 Creatures from another world come to observe and imitate Humans.",722.png,Yellow,Crystal,Squig,OG,Red Bathrobe,Smile,Angry Triple Lashes,Green Beanie,Monocle,
723,Squig #723,"4,444 Creatures from another world come to observe and imitate Humans.",723.png,Purple,Dark Brown Elf,Squig Elf,OG,Black Sweat,Afraid,Triple,Nurse,Smile Necklace,
724,Squig #724,"4,444 Creatures from another world come to observe and imitate Humans.",724.png,Yellow,Brown Elf,Squig Elf,OG,Red Bralette,Tongue,Angry Cyclops Lashes,Grey Boom Bucket,None,
725,Squig #725,"4,444 Creatures from another world come to observe and imitate Humans.",725.png,Yellow Boom,Dark Brown,Squig,OG,Ugly Long Tee,Tape,Suspect Cyclops,Black Backwards Cap,None,
726,Squig #726,"4,444 Creatures from another world come to observe and imitate Humans.",726.png,Light Blue Boom,Green Elf,Squig Elf,OG,Ugly Football Club Black,Sewn,Surgery,Pirate,None,
727,Squig #727,"4,444 Creatures from another world come to observe and imitate Humans.",727.png,Light Blue,Brown,Squig,OG,Fisherman Multi,Neutral,Triple,Yellow Sunhat,Gold Earring,
728,Squig #728,"4,444 Creatures from another world come to observe and imitate Humans.",728.png,Light Blue,Green,Squig,OG,Baseball Jersey Blue,Smile,Surgery Lashes,Yellow Punk,Weed Necklace,
729,Squig #729,"4,444 Creatures from another world come to observe and imitate Humans.",729.png,Purple Boom,Beige Elf,Squig Elf,OG,Ugly Hockey Jersey,Blue Tongue,Triple Lashes,Dennis Pink,Gold Earring,
730,Squig #730,"4,444 Creatures from another world come to observe and imitate Humans.",730.png,Green,Dark Brown,Squig,OG,Fisherman Multi,Sad,Bionic Lashes,Zeus Hand,Green Laser,
731,Squig #731,"4,444 Creatures from another world come to observe and imitate Humans.",731.png,Green,Purple,Squig,OG,PAAF Tee,Open,Cyclops,I Need TP,None,
732,Squig #732,"4,444 Creatures from another world come to observe and imitate Humans.",732.png,Pink Splash,Purple,Squig,OG,Purple Hoodie,Oh,Surgery Lashes,Headphones,None,
733,Squig #733,"4,444 Creatures from another world come to observe and imitate Humans.",733.png,Green Splash,Beige Elf,Squig Elf,OG,Green White Polo,Smile,Triple,Dennis Pink,None,
734,Squig #734,"4,444 Creatures from another world come to observe and imitate Humans.",734.png,Grey,Purple Elf,Squig Elf,OG,Purple Tee,Mustache,Triple,Purple Punk,Piranha,
735,Squig #735,"4,444 Creatures from another world come to observe and imitate Humans.",735.png,Purple Splash,Dark Brown,Squig,OG,Born Ugly Tee,Afraid,Triple,Butthead Hair,None,
736,Squig #736,"4,444 Creatures from another world come to observe and imitate Humans.",736.png,Portal,Crystal Elf,Squig Elf,OG,Purple Tee,Tape,Triple,Dennis Pink,None,
737,Squig #737,"4,444 Creatures from another world come to observe and imitate Humans.",737.png,Grey,Dark Brown Elf,Squig Elf,OG,Airplane Emergency Vest,Toothless,Cyclops Lashes,Green Visor,None,
738,Squig #738,"4,444 Creatures from another world come to observe and imitate Humans.",738.png,Pink,Brown,Squig,OG,Purple Tee,Sad,Bionic,Cowboy,Sad Necklace,
739,Squig #739,"4,444 Creatures from another world come to observe and imitate Humans.",739.png,Orange Splash,Beige,Squig,OG,Gold Bralette,Smile,Sleepy Triple,Brown Pigtails,None,
740,Squig #740,"4,444 Creatures from another world come to observe and imitate Humans.",740.png,Yellow Splash,Crystal Elf,Squig Elf,OG,Green Tee,Toothless,Cyclops Lashes,White Backwards Cap,E cigarette,
741,Squig #741,"4,444 Creatures from another world come to observe and imitate Humans.",741.png,Green,Brown,Squig,OG,Green Tee,Sewn,Angry Cyclops Lashes,Fresh Cut,None,
742,Squig #742,"4,444 Creatures from another world come to observe and imitate Humans.",742.png,Grey,Brown Elf,Squig Elf,OG,Baseball Jersey Red,Sad,Angry Cyclops Lashes,Cowboy,Sad Necklace,
743,Squig #743,"4,444 Creatures from another world come to observe and imitate Humans.",743.png,Yellow,Brown Elf,Squig Elf,OG,Purple Tee,Sad,Triple Lashes,Batmask,None,
744,Squig #744,"4,444 Creatures from another world come to observe and imitate Humans.",744.png,Pink Boom,Amphibian Purple,Amphibian,OG,White Tank,Mustache,Triple,Lobby,None,
745,Squig #745,"4,444 Creatures from another world come to observe and imitate Humans.",745.png,Yellow,Green Elf,Squig Elf,OG,White Tank,Toothless,Sleepy Triple,Green Cap,None,
746,Squig #746,"4,444 Creatures from another world come to observe and imitate Humans.",746.png,Purple Portal,Beige Elf,Squig Elf,OG,Multi Overalls,Sewn,Cyclops,Imposter,None,
747,Squig #747,"4,444 Creatures from another world come to observe and imitate Humans.",747.png,Green Boom,Green,Squig,OG,Varisty Blue,Mustache,Cyclops,Bow,None,
748,Squig #748,"4,444 Creatures from another world come to observe and imitate Humans.",748.png,Green,Purple,Squig,OG,Pink Hoodie,Tongue,Sleepy Triple,Plunger,Gold Earring,
749,Squig #749,"4,444 Creatures from another world come to observe and imitate Humans.",749.png,Pink Portal,Dark Brown,Squig,OG,Pink Jacket,Oh,Cyclops,Brown Pigtails,None,
750,Squig #750,"4,444 Creatures from another world come to observe and imitate Humans.",750.png,Purple Splash,Purple Elf,Squig Elf,OG,Purple Hoodie,Smile,Triple,Yellow Bowl,None,
751,Squig #751,"4,444 Creatures from another world come to observe and imitate Humans.",751.png,Yellow Boom,Crystal Elf,Squig Elf,OG,Blue Surf Lycra,Ball Gag,Triple Lashes,Pirate,Gold Earring,
752,Squig #752,"4,444 Creatures from another world come to observe and imitate Humans.",752.png,Pink,Brown,Squig,OG,Boxing Gloves,Tongue,Triple,Flower Hat,None,
753,Squig #753,"4,444 Creatures from another world come to observe and imitate Humans.",753.png,Grey,Dark Brown,Squig,OG,White Army Tee,Neutral,Suspect Cyclops,Rice Dome,None,
754,Squig #754,"4,444 Creatures from another world come to observe and imitate Humans.",754.png,Pink,Beige Elf,Squig Elf,OG,Black Tank,Sad,Sleepy Triple,Gold Bow,None,
755,Squig #755,"4,444 Creatures from another world come to observe and imitate Humans.",755.png,Green,Green Elf,Squig Elf,OG,White Tank,Neutral,Angry Triple,Flower Hat,None,
756,Squig #756,"4,444 Creatures from another world come to observe and imitate Humans.",756.png,Pink,Beige,Squig,OG,White Bralette,Afraid,Cyclops Lashes,Yellow Punk,None,
757,Squig #757,"4,444 Creatures from another world come to observe and imitate Humans.",757.png,Light Blue Splash,Dark Brown,Squig,OG,Pet Lover Bag,Neutral,Angry Cyclops Lashes,Space Brain,None,
758,Squig #758,"4,444 Creatures from another world come to observe and imitate Humans.",758.png,Purple,Purple Elf,Squig Elf,OG,Born Ugly Tee,Afraid,Triple,Boom Bucket,None,
759,Squig #759,"4,444 Creatures from another world come to observe and imitate Humans.",759.png,Grey Splash,Gold,Squig,OG,Basketball Yellow,Tongue,Angry Triple Lashes,Bunny,None,
760,Squig #760,"4,444 Creatures from another world come to observe and imitate Humans.",760.png,Green,Zombie,Zombie,OG,Boxing Gloves,Toothless,Triple Lashes,Goggles,None,
761,Squig #761,"4,444 Creatures from another world come to observe and imitate Humans.",761.png,Orange,Green,Squig,OG,Triangle Longue Tee,Smile,Surgery,Yellow Bowl,Multi Earring,
762,Squig #762,"4,444 Creatures from another world come to observe and imitate Humans.",762.png,Pink Splash,Dark Robot,Robot,OG,Ugly Hockey Jersey,Sad,Angry Cyclops Lashes,Yellow Bowl,None,
763,Squig #763,"4,444 Creatures from another world come to observe and imitate Humans.",763.png,Purple,Dark Brown Elf,Squig Elf,OG,Native Shirt,Smile,Sleepy Triple,Fire,None,
764,Squig #764,"4,444 Creatures from another world come to observe and imitate Humans.",764.png,Orange Boom,Beige,Squig,OG,Black Hoodie,Neutral,Cyclops Lashes,Brown Hair Bandana,None,
765,Squig #765,"4,444 Creatures from another world come to observe and imitate Humans.",765.png,Pink Boom,Zombie,Zombie,OG,Triangle Longue Tee,Neutral,Triple Lashes,Pink Sunhat,Monocle,
766,Squig #766,"4,444 Creatures from another world come to observe and imitate Humans.",766.png,Purple Portal,Brown,Squig,OG,Bowling Shirt,Smile,Triple,Blue Ugly Cap,None,
